Duygu,Yorum
1,merhaba talebiniz bize ulasmistir kisa surede sizinle iletisime gececegiz
0,merhaba konuyla ilgili yardimci olabilmek icin numaranizi paylasir misiniz
1,bize ulasan talebinizle ilgili kisa surede sizinle iletisime gececegiz
1,talebiniz bize ulasmistir kisa surede sizinle iletisime gececegiz
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
0,tebrik ederim biktirdirdinizzzzzzzzz saka gibisiniz sorunu cozmediginiz gibi dondurmus oldugum hattima hale fatura gonderiyorsunuz internet veriyorsunuz fatura kesiyorsunuz milleti magdur etmeyin artik
0,mrhb oldu ronaldoya tekirdag kapakli ilcesinden yaziyorum cerkezkoy ilcesinde var kapakli yok arkadaki mesafe sizin ronaldo yaslanmis zaten bolgede sikinti var halen devam diyor koskoca kapakli ilcesi cerkezkoy bile daha buyuk nufus olarak turkiye goc alan ilcesi vodafone turkcell full sizde tik yok ronaldo yaslanmis kapakli ilcesinde cerkezkoy kapakli arasinda kapakli girisinde olan vahit ince ust gecide kadar var carsida hic mahallede yok yurube turk telekom bismillah yillardir zaten sikayet ediyorum sorun var diye emindim olacakti oldu turkcell vodafone kadar olamadiniz ama artik yeter sabrin yeri var yazdigimi artik tum sosyal medya hesaplarinda yorum yapip paylasacagim yoksa sizlerin birsey yapmaya niyeti yok kapakli ilcesinde koskoca ilcede bin nufuslu ilce yok onemli yurttaslarim madem bulundugunuz bolgede yoksa sizlerde yapmaniz gereken aboneligini iptal ettirin bosuna para vermeyin bolgenize zaman gelirse ozaman gecin lafin kisasi turk ttelekom tekirdag kapakli ilcesinde pert cekmiyor hemde her heryerde cekmiyor turkiye goc alan ilcesinin hali aboneliginizi iptal ettirin kisa zamanda baz istasyonu kursunlar yoksa sene daha bekleriz kapakli bulunan avea bayii bile sizden memnun degil diyor
1,tm hallettim saolun
1,merhaba konu hakkinda detayli bilgiye adresinden ulasabilirsiniz tesekkurler
1,merhaba iletisim bilgilerinizi sayfanin ust kisminda bulunan mesaj bolumunden iletmeniz durumunda konu hakkinda inceleme yaparak size geri donus yapmak isteriz tesekkurler
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
1,merhaba size ulasabilecegimiz irtibat numaranizi mesajla paylasabilir misiniz
0,kapali hatta yuklenmis gibi gosterip kredi kartimdan calan operator turk telekom
1,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
1,merhaba bildiriminiz ilgili sizinle gorusmek inceleme yapabilmek icin irtibat numaranizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
1,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
0,ttnet uzak durun kesinlikle sozlesme yapmayin kullanmadiginiz internetin faturasini zorla odetiyorlar dolandirici sirket allah kimseyi ellerine dusurmesin ohh kurtuldum sonunda kat daha hizli daha ucuz superonline turkcell gecin dunya varmis be
0,siz utanin hele bulgarlarin internet hizlarina fiyatina bakin turk telekoma bakin yuzunuz kizarsin bulgar firmasi aldigi parayi hizmete siz reklama yatirirsiniz anca
0,kac defa numarami yazmam gerekiyor
1,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
0,corlu gobeginde tel cekmiyor zaten yok reklama vereceginiz parayi vericilere harcayin sozlesme olmasa kimse kullanmaz turk telekomu
0,yav hehe bana verdiginiz cevaba bakin iyilestirme yapiyoruz diyosunuz ust caddemde mps havada ucuyor siz anca ronaldoya milyon dolar euro her neyse onu verin alt yapi sakin yapmayin oldumu bunu soylicegemi hic dusunmedim ama adamsin turcell
0,bizim burda cekse gene raziyiz lutfen yardimci olun
1,yardimci olabilmemiz icin detaylari paylasabilir misiniz
1,merhaba size hangi konuda yardimci olabiliriz
0,su sistemleri duzeltip turktelekom hattimi once aktiflestirseniz ogrenecez nasil oldugunu haftadir avea olan kartimin kapanip turktelekom degismesini bekliyorum normalde yarim saatte aktif olmasi lazim diyorlar ama haftadir aktif olmadi
1,tarik demirci tesekkurler
1,evdeki neti kullaniyorum yetiyor bana isinizi wifiyle yada hal edin tavsiyemdr
0,mhz gsm icin uygun frekans degil kucuk engelle karsilasinca sinyal kesilir veya azalir mhz gsm icin uygun frekans olup turkcelin basarisinin yarisi bundan kaynaklanir
0,arkadaslar mantikli dusunun biraz benim ewdeki netten hizli ewde yalin mbps akk hiper net kullaniyorum gayet iyi sekilde hem hafta basinda bitiyor hizim mbps dusuyor bunu demeemin amaci nekadar hizli olursa okadar veri harcarsiniz gsm sirketleri uyanik lik paketlere hala dewm ettiryolar ben mbps hii aliyorum ama sonuna kadar bana intwrnet yeterken nisanda verim gitti kadar hizli olursa okadar somurur yaptiginiz speedtest verinin anasini aglatiykr cikmis yetkilide demiski fala veri yemez tabi kendisi sinirsiz sunuldugu icin farkinda degildir milleti keriz yerine koyuyolar ben senedir isin icindeyim orda duran butun musteri temsilcisinden iyi biliyorum neyin oldugunu kelimeyi araya getiremeyen musteri temsilcisi var bizim millette hiz artinca sewiniyor ama kotan hadi kullan bakalim benim gunda her yeten veri bunay yetmedi tekrar paket yaptim adam gibi paketler yapin paketler yada birakin isi mesala kullandigimida veri bitmiyidu nasil sistemdir anlamadim orantili sekilde paketlerinde artmasi lazim kenn yerinde sayiyor milleti die kandirop bitmeden kere paketmi yaptrcaksiniz vicdansiz turktelekom arkadaslar benim onerim kotalar yukselmedikce gecmeyin
0,turktelekom biralmak sart onemli kural turktelekom ucuz cunku naz istasyonu yok
0,kullanmaya baslamak icin turk telekom baska operatore gecmek gerek daha sunamiyorsunuz iddialiyiz diyorsunuz once sehrin gobeginde cekim kalitesini artirin hikayeleri cocuk kitaplarina birakin
0,ne gsi kardesim telefonumuz cekse raziyiz daha gecenedik biz yalandan reklama yatirim yapcaniza sebekeleri duzeltin
0,aydin merkezdeyim hatta gobeginde adnan menderes bulvarindayim turk telekom koca sifir balkonlarda konusuyoruz ozel diye birsey kalmadi yillardan beri sinyal zayif faturaya geldimi kol gibi
0,gecmek icin once cekmesi gerekiyor tekirdag kapakli ilcesinde cekmiyor sinden bahsediyorsunuz hala edge ayip valla ayip yaziyorum yazmaya devam edicem siz rezilligi duzeltene kadar
0,siteleri ilgili baglantiniz varmi sitelerde yazan telefon numaralarini aradigimda turk telekom firmanizin genel mudurlugu oldugunu soylediler internet kampanyalariniz hakkinda bilgi almak istedigimde adres telefon bilgim adim soyadimi alarak adresimde fiber internet varmi yokmu kontrol edecegini soyledi daha sonra ise doping internet diye birseyden bahsettiler doping internetin turk telekoma ait oldugunu soylediler hicbir seye onay vermeden kapattim siteler firmalarin sizinle baglantisi varmi yoksa benim verdigim adres soyad cep telefonu bilgilerimle hakkimda onayim olmadan herhangi islem yapabilirlermi firmanizin ismini kullanarak islem yapan firmalar hakkinda islem yapabilirmisiniz benim gibi firmanizin genel mudurlugu oldugunu soyleyerek bircok kisinin bilgilerini aldiklarini dusunuyorum ustelik doping adi altinda oldugunu belli olmayan seyi insanlara turk telekoma ait diyerek kandiriyorlar firmanizin imajinin zedelenmemesi musterilerinizin size olan guveninin yitirilmemesi icin arastirma yapip engellemenizi rica ederim ilginiz icin simdiden tesekkur ederim
0,dakika bekledikten sonra musteri hizmetine baglandik paket tutari fatura kesim tarihi ayin guncel kullanim tutari kor tuttuguna topal yakaladigina geciriyor reklamda ronaldoyu oynatmak masrafli oldu heralde gidisle sonu fatura gecirecekler bide diyor henuz fatura kesilmedigi icin nereden gecirdik belli degil fatura kesilsin gecirdigimiz yeri gosteririz
0,hala cekmiyor gerek vardi kutahya merkez
1,hattim icin herseyim uyumlu telefonum avea intouch interneti acinca ekranin ust tarafinda yazisi arada gozukup kayboluyor olur yardimci olun
1,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
0,hic samiyete almiyolar diyolar geciyolar turkcele gececem azindan ceker
0,turk telekom poka yaramaz bende turkcell once aveadaydim sadece sehir merkezinde cekiyordu sehir merkezinde turkcelle kiyaslama yaptim turkcell aldi basini gitti izledigimiz videoda avea yada turktelekom haltsa artik daha tik yok anlayacaginiz senedir turkcelliyim gayet mutluyum turktelekom olaninda sebekisiyle eziklestiriyorumki onlarda kurtulsun poktan hattan fazla olsun kalite olsun arkadas
1,tebrikler
1,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
0,ben bireysel olarak yapmam gerekeni telefon sim kartimi aldim ancak antakya cekmiyor turk telekom yapmasi gerekenleri yapiyor
1,turktelekom uygulamasini indirip kontrol edebilirsin
0,kardes bizde ariyoruz bizede ayni hikayeyi anlatiyorlar yatirim plani yok diyorlar nereye yatirim planliyorlar merak konusu
1,ne turkcell vodafon turk telekom yeter bana hem hesapli hemde hizmi hiz tesekkurler
1,kullaniyoz sip diyo indiriyor evimdeki wifiden daha hizli tesekkurler turk telekom
0,kullanmak icin daha gelmesini bekliyoruz cunku yildir calistigim koydeki okulda avea cekmiyor reklamda ronaldoya milyon lira vereceginize tane daha baz istasyonu dikin
0,bulundugumuz yerde avea cekmiyor daha once defalarca kayit birakmamiza ragmen cozum bulamadiniz geri donus bile yapmadiniz ortakliktan once kaliteniz yoktu daha kalitesiz oldunuz
0,bu adiliktir musteriyi art niyetli gruplara peskes cekmektir bakiyorsunuz mesaj ara beni bul beni yada gel sana masaj yapayim gibi ahlaksiz mesajlara megerse bizim operator aracilik ediyormus allah tumunuzun belasini versin bize cektirdiginizi sizler misliyle cekin musteriyi enayi goren enayidir musteriyi keriz goren kerizdir neyse allah hak ettiginizden fazlasini versin size
0,koskoca diyarbakir gibi metropol cekmiyor afyon diyor yaw
0,vodafone icler acisi iyisi turkcell vodafoneye zor sabrettim
0,dortbucukge demek varken dortnoktabes nereden cikti neyin nesiydi
0,su ekran fotosuna bakip bakip guluyorum turk telekom iste kadar olur
0,reklama odenen paralarin kesintisi devlete odenen vergiden yapilmaktadir reklama atiyorum milyar harcandiysa vergiyi milyar eksik odersin
1,ronaldo reklamda oynatip vereceginize daha verin super ligde takiminiz olsun istedigin gibi reklam yap ankara takimiydi ankaragucu gecmisi olan potansiyeli olan sehir takimi harcayarak super ligde ankaragucu takimi kurun
0,ya carsida cekiyor evde cekmiyor kapsamasi kotu afyonda sadece carsida lte yaziyor telefonda sikinti yok hatt sikintili
0,birde kalkmis nasil kullanilir turkcell gecin hemen cekecek bende turk telekom luyum birakin e bile cekmiyor ariyorum musteri hizmetleri kisa zamanda hallederiz tamam sonra bolge servisleri ariyor valla iyi verim vere bilmek icin baz istasyonu kurmamiz gerekiyor kuramayiz niye projede yok ronaldo verdiginiz parayla istasyonlariniza guclendirme takin hal olur gider
1,bu g
0,megabit olarak reklam yapiyorsunuz gercekte hiz gecmiyor baz istasyonuna yakinlik yogunluk felan demeyin baz istasyonuna metre uzaktayim
0,gecme kardesim sakin gecme iptal ettiren internetini gibi iciyor
0,cekmiyoooorrrr birakin isleri yazik yazikk
1,ucakk ucakkk
0,kusura bakmayin daha hizli milleti enayi yerine koymayin
0,oncelikle cekmesi gerekiyor
0,siz once reklamini yaptiginiz isi adam gibi yapin hatti degistirdim ucgun sonra sim kartiniz uyumlu degildir diye mesaj geldi lahana perhiz bide pardon neden net paketini bitiryio satarken sikinti yok ama kullandirirken git git hepiniz aynisiniz ama iste kullanmak durumundayiz
0,bizim burda anca rekor kadar belki zorlasam yerde cekcek yeter d
0,bide bozdunuz kullanabilsek son guncellemeden sonra
0,yeni turk telekom gectim internet hediyesini falan gelmedi yukledigim lira musteri hizmetlerinden tarife hakkinda bilgi alirken uctu gitti
0,musteri portfoyu iletisim halinde yiz ama yatirimlar yapilacak deyip duruyor zorunlu olmasam gun durmam
1,merhaba iletisim bilgilerinizi sayfanin ust kisminda bulunan mesaj bolumunden iletmeniz durumunda konu hakkinda inceleme yaparak size geri donus yapmak isteriz tesekkurler
0,ismimden kayutli bilgiler ztrnn iptal ettirecem hattimiaveami turk telekom uzagim artik
1,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
0,turk telekom cekmiyor zaten hatta vodafonede cekmiyor iyisi turkcell
1,seval keskin tesekkurler size bakalim olacak
0,yalan denemek istermisiniz deyip parayi rahat alabilme uydurmasi eskisindende yavas turkcellinki
0,yalan soyluyor vermiyor
0,turk telekom hatti boka yaramiyor daha kullanmayacak
0,bostan yere reklam yapmayin uskudar burhaniye mah var
0,ronaldoya verdiginiz paraya biraz yatirim yapsaydiniz daha mantikli olurdu reklamda ronaldo hizi gercekte kaplumbaga hizi
1,duvarinda maclar verip milyarlar kazandiriyor duvarinda kaniti var adam harika sende takip kazan takip edeceginiz kisi
0,isiniz gucunuz milletti keklemek
0,ya goruyorum ama internet paketi geldi diye interneti aciyim dedim butun kontorlerimi
1,merhaba cihazinizdan halen lte goremiyor iseniz linkinden detayli bilgiye ulasabilir cihaziniza uygun ayarlari yapabilirsiniz
0,para etmez
1,ben senelerdir vodafone luyum aslada vaz gecmem sana bagli tarife secmek istersen faturan tarifenin fiyatindan fazla gelmiyor sabit ucret
0,siz bosverin once insanlari tel bakir kablodan kurtarin aldiginiz paranin hakki verin
0,hic sekmiyor
0,ben musteri hizmetlerini aradim internetim sebeke cekmiyor diyorum acik adresime kadar verdim bana diyarlarki senin bolge sikintili diyorlar haftalar aylar surebilir koyde otursam haklisiniz buyuk sehirde oturuyorum diyorum adamlar ilgilenmiyor anlamadim gitti iyisi eski operatoru gecim
0,reklamlardan biktik artik icraat gormek istiyoruz
1,yolladim numaralari efendiler
1,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
1,gayet iyi int guzel hicbi sikayetim yok hayat bana guzel
1,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
0,gonderdim hepsinde arastirma yapacaz deyip kapatiyosunuz durum hep ayni
1,en guzelini yaparsin kardes gec baska sebekeye biraz fazla para amma hizmet numara
0,sehirin ortasinda sevgilimle konusamiyorum
0,balikesir havranda oturuyorum turk telekom zayif kademe cekiyor buna care bulunmasi lazim yoksa yakin zamanda uzulerek operatoru degistirmek zorunda kalicam
1,turk telekom telefonumla gorusme yapabileyim yeter
1,merhaba size yardimci olmamizi istediginiz konu var midir
0,boyle rezil baglanti olur yaa
0,bende hala olmadi size ulastim musteri hizmetleri diyor ayarlarin doru neden hala olmadi bilmiyormus simdi nasil calisacak
0,yaklasik yorum okudum sagolun sikintim kalmadi otomatik cevap vermeyin lutfen
0,daha telefonlar bile duzgun cekmezken milleri bari kandirmayin
0,uygun tarifemiii yeni hat tasiyanlara saglam teklifleri oluyor yeni gelene liraya internet msj dakika verirken ayni tarifeyi kendi kullanicisina liraya veriyor musteri memnuniyeti peeeeehhhh
0,turk telekom yeni musteri cekmek icin guzel kampanyalar yapip kendi yillardir kullanan musterilerine onem vermeyen firma hattinizi tasiyana kadar guzel teklifler alirsiniz sonraaaa tirtttt
0,internetiniz hic hizli degil
0,ayrimcilik yapiliyor gaturalilara faturadizlar yok faturalilar sizin abonenizde faturasizlar baskabirisinin abonesimi boyle sacmalik olmaz yani faturaliya gecin yillik sozlesme yapalim sonrada nere giderseniz gidin anlamina geliyor isin ozeti bu
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
1,merhaba iletisim bilgilerinizi sayfanin ust kisminda bulunan mesaj bolumunden iletmeniz durumunda konu hakkinda inceleme yaparak size geri donus yapmak isteriz tesekkurler
0,sehrin merkezinde telefonla konusurken kesiliyor nasil hizli olacak
1,merhaba hangi hizmetimiz icin telefon internet cep telefonu bilgi almak istediginizi belirtebilir misiniz
1,sayfamizi begenir misiniz
0,faturasizlara hediye yokmu ayip
1,merhaba inceleme yapabilmemiz icin detaylari mesaj paylasabilir misiniz
0,kudus etmez dediler telefona kadar degistirdim urfa zerre kadar cekmiyo
1,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
0,ben ilk olarak mp internet basladim ttnet musteri hizmetlerinden beni arayarak mp internete ilk tl tl bildirerek benim paket degisikligini yapti bana ay olarak bildirdi baslama tarihi oldugu ilk ayda asmicani inci ayda asmicani bildirdi ama paketin kalan suresini bildirmedi yani paket baslama bitis tarih lerini yanlis bilgilendirme yapti tarihi nden sayica yapar tarih sonra olur benim anladigim sekilde yapilan yanlis bilgilendirmeler sonucunda turk telekom olarak musteri kaybedersiniz turk telekom olarak musteri kazanmakmi istersiniz yoksa kazanicaniz musterileri kaybetmekmi istersiniz yani ben benim gibi musteri butun sosyal paylas sitelerinde yanlis bilgilendirme eksik bilgilendirme yaniltici bilgilendirmeler yaparak haksiz kazanc sagliyorsunuz bunun icin benim ttnet yapmis oldum telefon kayitlar incelemenizi yanlis lik lari duzeltmenizi talep ediyorum diye sikayet bulundum sonuc olarak beni hakli buldular ama kendi yaptiklari hatayi duzeltemiceklerini soylediler bende bunu butun sosyal paylas sitelerinde paylas cam kesinlikle turk telekom kulanmayin yanlis bilgilendirme eksik bilgilendirme yaniltici bilgilendirme yaparak haksiz kazanc sagliyorsunuz hak imi helal etmiyorum hakim haram olsun tum turk telekom calisanlari na
0,dedim dakika bekliyorum sadece muzik dinliyorum musteri temsilcine bagliyoruz diyorlar ama baglanamiyorum aciklama oldumu
0,ulassaniz nasil cozum bulacaktiniz acaba daha once konuyla ilgili zaten sikayet kaydi birakmistim herhangi islem yapilmadi buradan yazinca ilgilenildi konuyla
0,boktan servisleriyle unlu turktelekom
1,tarife paket kapsaminda kalan kullanim hakkinizin bitimine limit asim sms leri yonlendirilmektedir gelen sms leri dikkate alip kullanim yapmaniz durumunda asim durumunun onune gecmis olacaksiniz tesekkurler
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
0,bence turk telekom basindaki reklam yaparak isi kurtaracagini saniyor hic haberi yok milletin cektiginde bence turk telekom calisanlari sirketi batirma projesi yurutuyor
0,bu kaniti yazdiginiz cevabi facebooktan acmak icin dakika bekledim
0,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
0,musteri hizmetlerine sordum sen faturadizsin ode pasa pasa lirani internet neyine dediler siz bizim paralari ronaldoya verin
0,ben gye gecmedim ama net paketin yetmiyor bana gece gunduz wifi ila baglanmaya ragmen paketinin bittigini fark etmiyorum kac aydir faturam kabarik geliyor nasil onleyebiliriz
1,bismillahirrahmanirrahim allah gunumuzu hayr eyle dertlerimize devalar hastalarimiza sifalar borclarimiza kisa zamanda odemeler nasip eyle ahirete goc etmislerimize anne babalarimiza hisim akrabalarimiza sehitlerimize isimleri cisimleri unutulmus mezar taslari kaybolmus kimseleri kalmamis bana fatiha okuyacak kimse yokmu diyen din kardeslerimizinde ruhlarini sad mekanlarini cennet bahcelerinden bahce eyle bizlere dunyada ahirette guzellikler ver bizleri cehennem azabindan koru cennetine aldigin kullarindan eyle min min min sabahiniz nurlu gununuz hayirli olsun
0,sadece faturalilar icin ama faturasizim her lira veriyorum dis kapinin mandali muamelesi goruyoruz
0,ayrica telefon gorusmelerimin neredeyse inde kopma baglanti sorunu yasiyorum
1,merhaba iletisim bilgilerinizi sayfanin ust kisminda bulunan mesaj bolumunden iletmeniz durumunda konu hakkinda inceleme yaparak size geri donus yapmak isteriz tesekkurler
0,once adsl kopmalarini halledin sonra yaparsiniz
0,kere trafilosu sacini saniye tut kere oksur bunu yere yapistir sonra sevdigin kisinin facebook acik olacak seni sevdigini soyleyecek
0,millete entertix die biseyler yazip geciriyonuz zaten
0,telekom birak akk isi nolcak
0,enteresan yorumlar var ama kimse hattini tasimiyor herkes laf olsun diye elestiriyor hem liraya internet dakika konusma alin hemde isyan edin kadar ucuza baska operator varsa oraya gecebilirsiniz arkadaslar ben memnunum
1,bende hanimiyim evimde isimi yapiyorum sadece ayirip reklam izleyerek para kazaniyorum resmi reklamcilik firmasidir yapmaniz gereken tek sey uye olmak gunluk gercekten evde ise ihtiyaciniz varsa yazin
0,para etmez
0,aydir telekom gectim telekom nede bayilerinden memnunum bayiye fatura yatirmak icin haftadir gidiyorum sistem yok diye salliyorlar bicim hizmet
0,allah belani versin hirsiz turk telekom
0,bunun arasinda fazla degisiklik olmadi dedigim gibi konya sehir merkezi burasi cografi konum musait diger sebekelerde olmayan sorun nicin yillik avea abonesi bende oluyor daha mantikli cevabiniz vardir umarim
0,mrhb oldu ronaldoya tekirdag kapakli ilcesinden yaziyorum cerkezkoy ilcesinde var kapakli yok arkadaki mesafe sizin ronaldo yaslanmis zaten bolgede sikinti var halen devam diyor koskoca kapakli ilcesi cerkezkoy bile daha buyuk nufus olarak turkiye goc alan ilcesi vodafone turkcell full sizde tik yok ronaldo yaslanmis kapakli ilcesinde cerkezkoy kapakli arasinda kapakli girisinde olan vahit ince ust gecide kadar var carsida hic mahallede yok yurube turk telekom bismillah yillardir zaten sikayet ediyorum sorun var diye emindim olacakti oldu turkcell vodafone kadar olamadiniz ama artik yeter sabrin yeri var yazdigimi artik tum sosyal medya hesaplarinda yorum yapip paylasacagim yoksa sizlerin birsey yapmaya niyeti yok kapakli ilcesinde koskoca ilcede bin nufuslu ilce yok onemli yurttaslarim madem bulundugunuz bolgede yoksa sizlerde yapmaniz gereken aboneligini iptal ettirin bosuna para vermeyin bolgenize zaman gelirse ozaman gecin lafin kisasi turk ttelekom tekirdag kapakli ilcesinde pert cekmiyor hemde her heryerde cekmiyor turkiye goc alan ilcesinin hali aboneliginizi iptal ettirin kisa zamanda baz istasyonu kursunlar yoksa sene daha bekleriz kapakli bulunan avea bayii bile sizden memnun degil diyor
1,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
0,hattimla vodafone gectim yakinda diger hattimi tasiyacagim sehir merkezinde telefon cekmiyor fiber falan hikaye
0,turktelekom mobil diger hatlardan bitane iyi yonu var ucuz geri kalan butun ozellikleri yaramaz evde telefon konusurken balkona cikmak zorunda kaliyorum dusunun istanbul da
0,gun sonra giga hizda cevap olmus pendik santrale gitmek sureti sorunumu gun sonra cozdum pendik bolge mudurlugunde teknik mudur olan ugur bey organize deri personeliniz kamil bey bireysel cabalari sorunu cozdu ama yine iletisim bilgilerimi mesaj olarak gonderecegim belki hizmetinizde iyilestirme yaparsiniz arada gunluk kaybi ortalama
0,halla yok gun oldu
0,iphone plus kullaniyorum hediye yaziyorum telefonunuz uyumlu degil diyo ilgilenir misiniz
0,bizim bulundugumuz bolgede cekmiyor turk telekom cekmiyor turkcell gayet iyi cekiyordu kastamonu bozkurt
1,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
0,gecmeden once telefonunuz uyumlu hattiniz uyumlu degil diyordu gittim hat aldim simdi telefon uyumlu degil diyo nasil anlamadim internet cekiyo gozukuyor
0,merhaba gorme engelliyim ancak engelli tarifeleriniz icerik olarak berbat ustelik gectimiz gunlerde internet nedir komik dalga gecergibi engelli kisiler herhalde internet kulanazmi diyorsunuz anlamadim
0,yardim istiyorsan turk telekomdan biran once kurtulmaya bak
0,knk seymis faturaliyaymis attim mesajda faturali icin dedi
0,telefon lte isaretli yeniden baslattim hala yazmiyo yok cekmiyo herhalde
0,la turkcellin sizin nizden daha iyi
1,merhaba konu hakkinda detayli bilgiye adresinden ulasabilirsiniz tesekkurler
0,yil olmus bize hala alt yapi olmadigi icin alanyanin gobeginde daireli siteye yildir internet verilmiyor nasil hizmet
0,gecis yaptim henuz hediye internet falan gelmedi
1,iddaayi dize getiren adam hergun milyarlar kazandiriyor kesinlikle gormeniz lazim adam dahi duvarina bakarsaniz anlarsiniz arkadaslar takip edin sizde kazanin
0,ha doya ddoya diyosunuz aradim musteri hizmetlerini internet sadece telefon modeline veriliyormus ama ballandira ballandira reklama bakarsan
0,merhaba bize ilettiginiz talebinizle ilgili kisa surede sizinle iletisime gececegiz
0,istanbul gobeginde kadikoy uskudar merkezi yerlerde dahi ibaresini kac kez sans eseri gordum ibaresini zaman gorecegiz kim bilir isin garip tarafi hattimi tasimadan once internet hizim coook daha iyiydi
0,bana gelmedi bisey ronaldo milyon veriyorsunuz bize bari verseydiniz
1,merhaba marshmallow guncellemesi ileri donemlerde yapilacaktir
1,hellettik sonunda
1,edirnede nerde turk telekom var
0,vodafondan turktelekoma gecen kafami trabzonun orta yerinde internet cekmiyor la
1,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
1,merhaba tarafiniza detayli bilgi verebilmemiz icin numaranizi mesaj bolumu uzerinden iletmenizi rica ederiz
1,aradiginiz hersey unlu markalar varan sok indirimler kampanyalar taksit imkani kapida odeme iade etme orjinal urunler mutfaktan kozmetige dekorasyon gerecleri giyim akliniza gelen hersey uygun fiyatlar kolay odeme www modaayaz com
0,daha benim evime mbit hizli internet getiremeyen telekom yapacakmis guldurmeyin once adam gibi adsl getir her yere fiber gotur sonra yap
0,bu adamin sesi uymamis reklama bosa para vermissiniz
0,ben once sim kart aldim saate acilir dediler hala acilmadi bayiye gidiyorum mail attik diyorlar turk telekom ariyorum bayi gorusun diyorlar boyle rezillik baska operatorlerde yokturdur heralde iolanlaraiyidavranin
0,yalannnnnnnnnnn imissss pek yerde hala bile zar zor cekiyor utanmadan dunyanin hizli interneti diyor turk telekom sahtekarlari
0,ya nedir arkadas sozde gectik telefon hic cekmiyor gectim evdeki kablosuz internet bile yavas naptiniz abi siz dis ceken telefon simdi ayni konumda dis cekiyor hatta zaman zaman dise bile dusuyor
0,nisandan beri hediye kullanamiyorum musteri hizmetlerini aradigimda telefonumda hattimda sorun olmadigini sorunun kendi sistemlerinin henuz oturmadigindan oldugunu soylediler duzelecek dediler hala duzelmedi internet kaput calismiyorr
0,tavsiye etmiyorum fazla kota yiyor
0,istanbulun gobeginde yasiyoruz hala bizim buraya gelmemis yeni ogrendik devam kadar satafatli reklam yapacaginiza paralari alt yapiya ayirin sultanbeylinde oturuyorum telefon cekmiyor boyle rezillik olmaz sene zor sabrettim artik yeter operator degisme zamani geldi artik gun sonra elveda turk telekom beni verem ettiniz
0,ne ttnetiniz avea niz cekiyor internet yok sebeke yok ariza kaydi actiriyoruz hicbir sey yapmiyorsunuz
1,ttnet uzak durun kesinlikle sozlesme yapmayin kullanmadiginiz internetin faturasini zorla odetiyorlar dolandirici sirket allah kimseyi ellerine dusurmesin ohh kurtuldum sonunda kat daha hizli daha ucuz superonline turkcell gecin dunya varmis be
